,Event Type,Place,Event Start Date,Fatalities,Injured / Infected,Evacuated,Normalized Total Cost (2016)
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Southern Manitoba,18-May-94,0,0,0,"$13,595,118 "
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Winnipeg MB,25-Jul-93,0,0,0,"$322,210,883 "
,Flood,,,,,,
,Meteorological - Hydrological:,Swan River MB,04-Jul-93,0,0,650,"$8,607,512 "
,Flood,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jan-93,0,0,0,Unknown
,Drought,,,,,,
,Hazardous Chemicals:,Oakville MB,18-Dec-92,0,0,410,Unknown
,Derailment Release,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jan-92,0,0,0,"$887,484,785 "
,Drought,,,,,,
,Meteorological - Hydrological:,Prairies Provinces and Ontario,01-Jan-92,0,0,0,"$3,057,143 "
,Cold Event,,,,,,
,Hazardous Chemicals:,St. Lazare MB,09-Jul-91,0,0,400,Unknown
,Derailment Release,,,,,,
,Hazardous Chemicals:,Niverville MB,01-May-91,0,0,1500,Unknown
,Fire,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jan-91,0,0,0,"$227,269,580 "
,Drought,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jan-90,0,0,0,"$952,995,847 "
,Drought,,,,,,
,Meteorological - Hydrological:,British Columbia to Ontario,18-Dec-89,7,0,0,"$920,923 "
,Cold Event,,,,,,
,Meteorological - Hydrological:,Northern Manitoba,11-May-89,0,0,25000,"$31,739,282 "
,Wildfire,,,,,,
,Meteorological - Hydrological:,Yukon to Ontario,30-Jan-89,13,100,0,Unknown
,Cold Event,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jan-89,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Ontario and Manitoba,05-Jul-88,14,0,0,Unknown
,Heat Event,,,,,,
,Meteorological - Hydrological:,Duck Mountain and Swan River MB,01-Apr-88,0,0,0,"$4,189,477 "
,Flood,,,,,,
,Hazardous Chemicals:,Emerson MB,01-Oct-87,0,0,300,Unknown
,Derailment Release,,,,,,
,Meteorological - Hydrological:,Winnipeg MB,06-Jul-87,0,0,0,Unknown
,Tornado,,,,,,
,Meteorological - Hydrological:,Winnipeg MB,07-Nov-86,2,0,0,Unknown
,Winter Storm,,,,,,
,Meteorological - Hydrological:,Icelandic River and Fisher River MB,01-Apr-86,0,0,148,"$5,663,280 "
,Flood,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jan-86,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Western Canada,01-May-85,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Southern Manitoba,15-Jun-84,0,0,0,"$3,510,405 "
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jun-84,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,"South, Central and Western Manitoba",27-Apr-84,0,0,0,"$5,692,114 "
,Winter Storm,,,,,,
,Biological:,Manitoba,01-Jul-83,0,0,0,"$9,821,771 "
,Epidemic,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,06-Mar-83,0,0,0,Unknown
,Winter Storm,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jan-83,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Across Canada,05-Jan-82,0,0,0,Unknown
,Cold Event,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jan-81,0,0,0,"$4,809 "
,Drought,,,,,,
,Meteorological - Hydrological:,Red River region MB,01-Apr-79,0,0,10000,"$59,568,943 "
,Flood,,,,,,
,Meteorological - Hydrological:,Yukon to Ontario,08-Feb-79,0,0,0,Unknown
,Cold Event,,,,,,
,Meteorological - Hydrological:,Winnipeg MB,25-May-78,0,0,0,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jan-77,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Assiniboine River MB,01-Apr-76,0,0,0,"$18,764,991 "
,Flood,,,,,,
,Meteorological - Hydrological:,Central and Southern Manitoba,01-Apr-74,0,0,0,"$71,174,085 "
,Flood,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jan-74,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Winnipeg MB,30-Apr-70,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Winnipeg MB,02-May-69,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jan-69,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jan-68,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jan-67,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Winnipeg MB,14-Apr-66,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Winnipeg MB,04-Mar-66,0,0,0,Unknown
,Winter Storm,,,,,,
,Meteorological - Hydrological:,Southern Prairies,15-Dec-64,3,0,0,Unknown
,Winter Storm,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jan-64,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jan-63,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jan-62,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jan-61,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Winnipeg MB,18-Apr-60,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jan-60,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jan-59,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jan-58,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Amaranth MB,01-Jan-58,0,0,0,Unknown
,Tornado,,,,,,
,Meteorological - Hydrological:,Manitoba and Saskatchewan,01-Jan-55,0,0,0,Unknown
,Flood,,,,,,
,Biological:,Across Canada,01-Jan-53,481,8000,0,Unknown
,Epidemic,,,,,,
,Meteorological - Hydrological:,Winnipeg MB,05-May-50,1,0,107000,Unknown
,Flood,,,,,,
,Transportation accident:,Dugald MB,01-Sep-47,31,0,0,Unknown
,Rail,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,14-Mar-41,76,0,0,Unknown
,Winter Storm,,,,,,
,Meteorological - Hydrological:,Across Canada,05-Jul-36,1180,0,0,Unknown
,Heat Event,,,,,,
,Meteorological - Hydrological:,Manitoba,01-Jan-35,0,0,0,Unknown
,Winter Storm,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jan-31,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jan-29,0,0,0,Unknown
,Drought,,,,,,
,Biological:,Across Canada,01-Mar-27,Unknown,0,0,Unknown
,Epidemic,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jan-24,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Winnipeg MB,01-Jan-23,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Portage la Prairie MB,22-Jun-22,5,0,0,Unknown
,Tornado,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jan-20,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jan-19,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jan-18,0,0,0,Unknown
,Drought,,,,,,
,Biological:,Across Canada,01-Jan-18,50000,2000000,0,Unknown
,Epidemic,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jan-17,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Winnipeg MB,24-Apr-16,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jan-14,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,01-Jan-10,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Red River MB,24-Apr-04,0,0,0,Unknown
,Flood,,,,,,
